,time,time_delta,day,year,month
12737,2022-01-01 00:02:44.622000+00:00,0 days 00:18:41.056000,1,2022,1
12736,2022-01-01 01:56:10.539000+00:00,0 days 01:53:25.917000,1,2022,1
12735,2022-01-01 02:04:08.698000+00:00,0 days 00:07:58.159000,1,2022,1
12734,2022-01-01 02:05:59.573000+00:00,0 days 00:01:50.875000,1,2022,1
12733,2022-01-01 05:47:40.521000+00:00,0 days 03:41:40.948000,1,2022,1
12732,2022-01-01 05:48:23.328000+00:00,0 days 00:00:42.807000,1,2022,1
12731,2022-01-01 05:48:24.203000+00:00,0 days 00:00:00.875000,1,2022,1
12730,2022-01-01 05:48:25.871000+00:00,0 days 00:00:01.668000,1,2022,1
12729,2022-01-01 05:48:56.486000+00:00,0 days 00:00:30.615000,1,2022,1
12728,2022-01-01 05:49:32.942000+00:00,0 days 00:00:36.456000,1,2022,1
12727,2022-01-01 05:50:15.733000+00:00,0 days 00:00:42.791000,1,2022,1
12726,2022-01-01 05:51:03.937000+00:00,0 days 00:00:48.204000,1,2022,1
12725,2022-01-01 05:51:06.194000+00:00,0 days 00:00:02.257000,1,2022,1
12724,2022-01-01 05:51:37.113000+00:00,0 days 00:00:30.919000,1,2022,1
12723,2022-01-01 05:54:26.055000+00:00,0 days 00:02:48.942000,1,2022,1
12722,2022-01-01 05:54:27.071000+00:00,0 days 00:00:01.016000,1,2022,1
12721,2022-01-01 21:10:31.247000+00:00,0 days 15:16:04.176000,1,2022,1
12720,2022-01-01 23:27:38.398000+00:00,0 days 02:17:07.151000,1,2022,1
12719,2022-01-01 23:52:47.411000+00:00,0 days 00:25:09.013000,1,2022,1
12718,2022-01-02 00:05:19.330000+00:00,0 days 00:12:31.919000,2,2022,1
12717,2022-01-02 00:18:14.021000+00:00,0 days 00:12:54.691000,2,2022,1
12716,2022-01-02 02:27:54.741000+00:00,0 days 02:09:40.720000,2,2022,1
12715,2022-01-02 02:37:47.766000+00:00,0 days 00:09:53.025000,2,2022,1
12714,2022-01-02 02:39:43.341000+00:00,0 days 00:01:55.575000,2,2022,1
12713,2022-01-02 03:28:10.592000+00:00,0 days 00:48:27.251000,2,2022,1
12712,2022-01-02 04:50:08.262000+00:00,0 days 01:21:57.670000,2,2022,1
12711,2022-01-02 04:50:29.339000+00:00,0 days 00:00:21.077000,2,2022,1
12710,2022-01-02 04:51:24.347000+00:00,0 days 00:00:55.008000,2,2022,1
12709,2022-01-02 04:53:36.557000+00:00,0 days 00:02:12.210000,2,2022,1
12708,2022-01-02 05:09:00.164000+00:00,0 days 00:15:23.607000,2,2022,1
12707,2022-01-02 05:10:02.557000+00:00,0 days 00:01:02.393000,2,2022,1
12706,2022-01-02 05:32:56.891000+00:00,0 days 00:22:54.334000,2,2022,1
12705,2022-01-02 05:41:27+00:00,0 days 00:08:30.109000,2,2022,1
12704,2022-01-02 05:44:31.525000+00:00,0 days 00:03:04.525000,2,2022,1
12703,2022-01-02 05:59:13.329000+00:00,0 days 00:14:41.804000,2,2022,1
12702,2022-01-02 06:16:43.132000+00:00,0 days 00:17:29.803000,2,2022,1
12701,2022-01-02 06:20:01.969000+00:00,0 days 00:03:18.837000,2,2022,1
12700,2022-01-02 06:26:58.209000+00:00,0 days 00:06:56.240000,2,2022,1
12699,2022-01-02 06:27:44.073000+00:00,0 days 00:00:45.864000,2,2022,1
12698,2022-01-02 17:33:11.663000+00:00,0 days 11:05:27.590000,2,2022,1
12697,2022-01-02 17:35:37.948000+00:00,0 days 00:02:26.285000,2,2022,1
12696,2022-01-02 17:40:06.884000+00:00,0 days 00:04:28.936000,2,2022,1
12695,2022-01-02 17:42:18.711000+00:00,0 days 00:02:11.827000,2,2022,1
12694,2022-01-02 17:43:42.719000+00:00,0 days 00:01:24.008000,2,2022,1
12693,2022-01-02 17:45:34.643000+00:00,0 days 00:01:51.924000,2,2022,1
12692,2022-01-02 17:50:00.784000+00:00,0 days 00:04:26.141000,2,2022,1
12691,2022-01-02 17:55:23.659000+00:00,0 days 00:05:22.875000,2,2022,1
12690,2022-01-02 17:56:10.860000+00:00,0 days 00:00:47.201000,2,2022,1
12689,2022-01-02 18:01:25.776000+00:00,0 days 00:05:14.916000,2,2022,1
12688,2022-01-02 18:01:34.687000+00:00,0 days 00:00:08.911000,2,2022,1
12687,2022-01-02 18:03:23.571000+00:00,0 days 00:01:48.884000,2,2022,1
12686,2022-01-02 18:08:05.963000+00:00,0 days 00:04:42.392000,2,2022,1
12685,2022-01-02 23:12:32.588000+00:00,0 days 05:04:26.625000,2,2022,1
12684,2022-01-03 03:47:31.036000+00:00,0 days 04:34:58.448000,3,2022,1
12683,2022-01-03 06:10:08.259000+00:00,0 days 02:22:37.223000,3,2022,1
12682,2022-01-03 06:11:05.702000+00:00,0 days 00:00:57.443000,3,2022,1
12681,2022-01-04 04:34:13.546000+00:00,0 days 22:23:07.844000,4,2022,1
12680,2022-01-04 05:04:13.315000+00:00,0 days 00:29:59.769000,4,2022,1
12679,2022-01-04 05:08:13.011000+00:00,0 days 00:03:59.696000,4,2022,1
12678,2022-01-04 05:10:04.387000+00:00,0 days 00:01:51.376000,4,2022,1
12677,2022-01-04 05:10:43.867000+00:00,0 days 00:00:39.480000,4,2022,1
12676,2022-01-04 05:11:31.279000+00:00,0 days 00:00:47.412000,4,2022,1
12675,2022-01-04 05:45:16.059000+00:00,0 days 00:33:44.780000,4,2022,1
12674,2022-01-04 06:32:29.032000+00:00,0 days 00:47:12.973000,4,2022,1
12673,2022-01-04 06:37:45.623000+00:00,0 days 00:05:16.591000,4,2022,1
12672,2022-01-04 06:43:22.234000+00:00,0 days 00:05:36.611000,4,2022,1
12671,2022-01-04 06:54:28.491000+00:00,0 days 00:11:06.257000,4,2022,1
12670,2022-01-04 07:19:58.363000+00:00,0 days 00:25:29.872000,4,2022,1
12669,2022-01-04 08:13:15.079000+00:00,0 days 00:53:16.716000,4,2022,1
12668,2022-01-04 08:15:15.122000+00:00,0 days 00:02:00.043000,4,2022,1
12667,2022-01-04 08:15:49.554000+00:00,0 days 00:00:34.432000,4,2022,1
12666,2022-01-04 21:21:37.456000+00:00,0 days 13:05:47.902000,4,2022,1
12665,2022-01-05 02:39:08.557000+00:00,0 days 05:17:31.101000,5,2022,1
12664,2022-01-05 06:47:54.231000+00:00,0 days 04:08:45.674000,5,2022,1
12663,2022-01-05 06:51:08.835000+00:00,0 days 00:03:14.604000,5,2022,1
12662,2022-01-05 07:03:46.411000+00:00,0 days 00:12:37.576000,5,2022,1
12661,2022-01-05 07:07:27.399000+00:00,0 days 00:03:40.988000,5,2022,1
12660,2022-01-05 07:13:49.251000+00:00,0 days 00:06:21.852000,5,2022,1
12659,2022-01-05 07:30:25.904000+00:00,0 days 00:16:36.653000,5,2022,1
12658,2022-01-05 07:32:25.661000+00:00,0 days 00:01:59.757000,5,2022,1
12657,2022-01-05 21:12:35.598000+00:00,0 days 13:40:09.937000,5,2022,1
12656,2022-01-05 21:14:14+00:00,0 days 00:01:38.402000,5,2022,1
12655,2022-01-05 21:24:27.139000+00:00,0 days 00:10:13.139000,5,2022,1
12654,2022-01-05 21:41:05.646000+00:00,0 days 00:16:38.507000,5,2022,1
12653,2022-01-05 22:47:45.148000+00:00,0 days 01:06:39.502000,5,2022,1
12652,2022-01-05 22:56:20.396000+00:00,0 days 00:08:35.248000,5,2022,1
12651,2022-01-05 23:01:16.472000+00:00,0 days 00:04:56.076000,5,2022,1
12650,2022-01-06 00:03:35.570000+00:00,0 days 01:02:19.098000,6,2022,1
12649,2022-01-06 01:37:51.258000+00:00,0 days 01:34:15.688000,6,2022,1
12648,2022-01-06 02:51:09.114000+00:00,0 days 01:13:17.856000,6,2022,1
12647,2022-01-06 02:53:54.454000+00:00,0 days 00:02:45.340000,6,2022,1
12646,2022-01-06 02:54:19.241000+00:00,0 days 00:00:24.787000,6,2022,1
12645,2022-01-06 02:55:51.224000+00:00,0 days 00:01:31.983000,6,2022,1
12644,2022-01-06 03:06:15.912000+00:00,0 days 00:10:24.688000,6,2022,1
12643,2022-01-06 06:04:15.467000+00:00,0 days 02:57:59.555000,6,2022,1
12642,2022-01-06 06:17:18.900000+00:00,0 days 00:13:03.433000,6,2022,1
12641,2022-01-06 07:23:21.938000+00:00,0 days 01:06:03.038000,6,2022,1
12640,2022-01-06 07:43:37.702000+00:00,0 days 00:20:15.764000,6,2022,1
12639,2022-01-06 07:55:13.354000+00:00,0 days 00:11:35.652000,6,2022,1
12638,2022-01-06 08:07:15.447000+00:00,0 days 00:12:02.093000,6,2022,1
12637,2022-01-06 08:40:55.421000+00:00,0 days 00:33:39.974000,6,2022,1
12636,2022-01-06 08:41:11.514000+00:00,0 days 00:00:16.093000,6,2022,1
12635,2022-01-07 03:41:49.898000+00:00,0 days 19:00:38.384000,7,2022,1
12634,2022-01-07 05:43:42.198000+00:00,0 days 02:01:52.300000,7,2022,1
12633,2022-01-07 05:47:40.706000+00:00,0 days 00:03:58.508000,7,2022,1
12632,2022-01-07 05:51:34.288000+00:00,0 days 00:03:53.582000,7,2022,1
12631,2022-01-07 08:12:37.761000+00:00,0 days 02:21:03.473000,7,2022,1
12630,2022-01-07 23:03:19.842000+00:00,0 days 14:50:42.081000,7,2022,1
12629,2022-01-08 02:58:09.515000+00:00,0 days 03:54:49.673000,8,2022,1
12628,2022-01-08 04:30:09.455000+00:00,0 days 01:31:59.940000,8,2022,1
12627,2022-01-08 05:10:24.106000+00:00,0 days 00:40:14.651000,8,2022,1
12626,2022-01-08 05:11:40.638000+00:00,0 days 00:01:16.532000,8,2022,1
12625,2022-01-08 07:17:32.524000+00:00,0 days 02:05:51.886000,8,2022,1
12624,2022-01-08 07:32:19.130000+00:00,0 days 00:14:46.606000,8,2022,1
12623,2022-01-08 07:33:51.035000+00:00,0 days 00:01:31.905000,8,2022,1
12622,2022-01-08 07:44:00.722000+00:00,0 days 00:10:09.687000,8,2022,1
12621,2022-01-08 07:45:33.595000+00:00,0 days 00:01:32.873000,8,2022,1
12620,2022-01-08 07:51:10.941000+00:00,0 days 00:05:37.346000,8,2022,1
12619,2022-01-08 07:52:57.212000+00:00,0 days 00:01:46.271000,8,2022,1
12618,2022-01-08 08:21:19.466000+00:00,0 days 00:28:22.254000,8,2022,1
12617,2022-01-09 02:32:01.003000+00:00,0 days 18:10:41.537000,9,2022,1
12616,2022-01-09 03:10:42.401000+00:00,0 days 00:38:41.398000,9,2022,1
12615,2022-01-09 03:21:50.855000+00:00,0 days 00:11:08.454000,9,2022,1
12614,2022-01-09 03:23:26.726000+00:00,0 days 00:01:35.871000,9,2022,1
12613,2022-01-09 03:25:44.904000+00:00,0 days 00:02:18.178000,9,2022,1
12612,2022-01-09 04:28:00.201000+00:00,0 days 01:02:15.297000,9,2022,1
12611,2022-01-09 04:28:02.920000+00:00,0 days 00:00:02.719000,9,2022,1
12610,2022-01-09 04:29:01.688000+00:00,0 days 00:00:58.768000,9,2022,1
12609,2022-01-09 04:41:28.726000+00:00,0 days 00:12:27.038000,9,2022,1
12608,2022-01-09 08:48:18.417000+00:00,0 days 04:06:49.691000,9,2022,1
12607,2022-01-09 08:53:00.734000+00:00,0 days 00:04:42.317000,9,2022,1
12606,2022-01-09 15:53:01.725000+00:00,0 days 07:00:00.991000,9,2022,1
12605,2022-01-09 15:54:34.535000+00:00,0 days 00:01:32.810000,9,2022,1
12604,2022-01-09 16:02:51.581000+00:00,0 days 00:08:17.046000,9,2022,1
12603,2022-01-09 16:04:18.660000+00:00,0 days 00:01:27.079000,9,2022,1
12602,2022-01-09 16:06:10.259000+00:00,0 days 00:01:51.599000,9,2022,1
12601,2022-01-09 16:06:11.597000+00:00,0 days 00:00:01.338000,9,2022,1
12600,2022-01-09 16:07:29.364000+00:00,0 days 00:01:17.767000,9,2022,1
12599,2022-01-09 16:09:04.116000+00:00,0 days 00:01:34.752000,9,2022,1
12598,2022-01-09 16:10:26.941000+00:00,0 days 00:01:22.825000,9,2022,1
12597,2022-01-09 16:12:58.625000+00:00,0 days 00:02:31.684000,9,2022,1
12596,2022-01-09 21:25:04.317000+00:00,0 days 05:12:05.692000,9,2022,1
12595,2022-01-09 21:29:53.110000+00:00,0 days 00:04:48.793000,9,2022,1
12594,2022-01-09 21:33:33.611000+00:00,0 days 00:03:40.501000,9,2022,1
12593,2022-01-09 21:45:52.917000+00:00,0 days 00:12:19.306000,9,2022,1
12592,2022-01-09 23:10:32.878000+00:00,0 days 01:24:39.961000,9,2022,1
12591,2022-01-10 03:49:15.319000+00:00,0 days 04:38:42.441000,10,2022,1
12590,2022-01-10 03:49:35.090000+00:00,0 days 00:00:19.771000,10,2022,1
12589,2022-01-10 04:07:22.119000+00:00,0 days 00:17:47.029000,10,2022,1
12588,2022-01-10 04:13:50.051000+00:00,0 days 00:06:27.932000,10,2022,1
12587,2022-01-10 04:14:27.946000+00:00,0 days 00:00:37.895000,10,2022,1
12586,2022-01-10 04:25:00.637000+00:00,0 days 00:10:32.691000,10,2022,1
12585,2022-01-10 04:27:59.440000+00:00,0 days 00:02:58.803000,10,2022,1
12584,2022-01-10 04:47:51.114000+00:00,0 days 00:19:51.674000,10,2022,1
12583,2022-01-10 04:50:01.112000+00:00,0 days 00:02:09.998000,10,2022,1
12582,2022-01-10 04:57:21.856000+00:00,0 days 00:07:20.744000,10,2022,1
12581,2022-01-10 05:32:11.811000+00:00,0 days 00:34:49.955000,10,2022,1
12580,2022-01-10 05:57:24.415000+00:00,0 days 00:25:12.604000,10,2022,1
12579,2022-01-10 06:15:13.076000+00:00,0 days 00:17:48.661000,10,2022,1
12578,2022-01-10 06:48:28.747000+00:00,0 days 00:33:15.671000,10,2022,1
12577,2022-01-10 06:48:43.072000+00:00,0 days 00:00:14.325000,10,2022,1
12576,2022-01-10 06:54:48.561000+00:00,0 days 00:06:05.489000,10,2022,1
12575,2022-01-10 07:02:12.068000+00:00,0 days 00:07:23.507000,10,2022,1
12574,2022-01-10 07:05:50.268000+00:00,0 days 00:03:38.200000,10,2022,1
12573,2022-01-10 07:11:57.742000+00:00,0 days 00:06:07.474000,10,2022,1
12572,2022-01-10 08:08:43.067000+00:00,0 days 00:56:45.325000,10,2022,1
12571,2022-01-10 15:48:16.313000+00:00,0 days 07:39:33.246000,10,2022,1
12570,2022-01-10 15:50:06.334000+00:00,0 days 00:01:50.021000,10,2022,1
12569,2022-01-10 15:58:35.175000+00:00,0 days 00:08:28.841000,10,2022,1
12568,2022-01-10 15:58:49.843000+00:00,0 days 00:00:14.668000,10,2022,1
12567,2022-01-10 15:59:14.386000+00:00,0 days 00:00:24.543000,10,2022,1
12566,2022-01-10 15:59:27.923000+00:00,0 days 00:00:13.537000,10,2022,1
12565,2022-01-10 16:24:55.828000+00:00,0 days 00:25:27.905000,10,2022,1
12564,2022-01-10 16:58:38.136000+00:00,0 days 00:33:42.308000,10,2022,1
12563,2022-01-10 17:00:12.987000+00:00,0 days 00:01:34.851000,10,2022,1
12562,2022-01-10 21:32:26.107000+00:00,0 days 04:32:13.120000,10,2022,1
12561,2022-01-10 21:36:16.121000+00:00,0 days 00:03:50.014000,10,2022,1
12560,2022-01-10 21:44:07.227000+00:00,0 days 00:07:51.106000,10,2022,1
12559,2022-01-10 21:51:00.178000+00:00,0 days 00:06:52.951000,10,2022,1
12558,2022-01-10 21:52:43.724000+00:00,0 days 00:01:43.546000,10,2022,1
12557,2022-01-10 21:52:57.051000+00:00,0 days 00:00:13.327000,10,2022,1
12556,2022-01-10 21:54:48.068000+00:00,0 days 00:01:51.017000,10,2022,1
12555,2022-01-11 00:04:35.800000+00:00,0 days 02:09:47.732000,11,2022,1
12554,2022-01-11 00:06:30.794000+00:00,0 days 00:01:54.994000,11,2022,1
12553,2022-01-11 02:36:36.420000+00:00,0 days 02:30:05.626000,11,2022,1
12552,2022-01-11 02:38:37.482000+00:00,0 days 00:02:01.062000,11,2022,1
12551,2022-01-11 02:51:25.445000+00:00,0 days 00:12:47.963000,11,2022,1
12550,2022-01-11 03:21:39.462000+00:00,0 days 00:30:14.017000,11,2022,1
12549,2022-01-11 03:51:15.125000+00:00,0 days 00:29:35.663000,11,2022,1
12548,2022-01-11 03:58:58.056000+00:00,0 days 00:07:42.931000,11,2022,1
12547,2022-01-11 03:59:08.116000+00:00,0 days 00:00:10.060000,11,2022,1
12546,2022-01-11 03:59:25.649000+00:00,0 days 00:00:17.533000,11,2022,1
12545,2022-01-11 04:12:57.360000+00:00,0 days 00:13:31.711000,11,2022,1
12544,2022-01-11 04:14:16.690000+00:00,0 days 00:01:19.330000,11,2022,1
12543,2022-01-11 04:32:50.226000+00:00,0 days 00:18:33.536000,11,2022,1
12542,2022-01-11 04:50:39.382000+00:00,0 days 00:17:49.156000,11,2022,1
12541,2022-01-11 06:09:00.536000+00:00,0 days 01:18:21.154000,11,2022,1
12540,2022-01-11 06:20:14.197000+00:00,0 days 00:11:13.661000,11,2022,1
12539,2022-01-11 06:23:39.026000+00:00,0 days 00:03:24.829000,11,2022,1
12538,2022-01-11 07:21:35.232000+00:00,0 days 00:57:56.206000,11,2022,1
12537,2022-01-11 15:56:46.052000+00:00,0 days 08:35:10.820000,11,2022,1
12536,2022-01-11 16:01:17.706000+00:00,0 days 00:04:31.654000,11,2022,1
12535,2022-01-11 21:30:26.804000+00:00,0 days 05:29:09.098000,11,2022,1
12534,2022-01-11 21:33:58.476000+00:00,0 days 00:03:31.672000,11,2022,1
12533,2022-01-11 23:46:51.246000+00:00,0 days 02:12:52.770000,11,2022,1
12532,2022-01-12 00:02:41.699000+00:00,0 days 00:15:50.453000,12,2022,1
12531,2022-01-12 00:02:59.782000+00:00,0 days 00:00:18.083000,12,2022,1
12530,2022-01-12 00:04:00.993000+00:00,0 days 00:01:01.211000,12,2022,1
12529,2022-01-12 00:04:53.864000+00:00,0 days 00:00:52.871000,12,2022,1
12528,2022-01-12 00:14:50.884000+00:00,0 days 00:09:57.020000,12,2022,1
12527,2022-01-12 00:15:10.259000+00:00,0 days 00:00:19.375000,12,2022,1
12526,2022-01-12 00:15:46.304000+00:00,0 days 00:00:36.045000,12,2022,1
12525,2022-01-12 00:16:36.638000+00:00,0 days 00:00:50.334000,12,2022,1
12524,2022-01-12 00:17:30.492000+00:00,0 days 00:00:53.854000,12,2022,1
12523,2022-01-12 06:06:18.020000+00:00,0 days 05:48:47.528000,12,2022,1
12522,2022-01-12 06:07:06.747000+00:00,0 days 00:00:48.727000,12,2022,1
12521,2022-01-12 06:37:03.605000+00:00,0 days 00:29:56.858000,12,2022,1
12520,2022-01-12 06:51:40.004000+00:00,0 days 00:14:36.399000,12,2022,1
12519,2022-01-12 07:05:18.291000+00:00,0 days 00:13:38.287000,12,2022,1
12518,2022-01-12 07:10:56.033000+00:00,0 days 00:05:37.742000,12,2022,1
12517,2022-01-12 07:41:59.993000+00:00,0 days 00:31:03.960000,12,2022,1
12516,2022-01-12 07:43:44.132000+00:00,0 days 00:01:44.139000,12,2022,1
12515,2022-01-12 07:50:01.996000+00:00,0 days 00:06:17.864000,12,2022,1
12514,2022-01-12 07:54:48.971000+00:00,0 days 00:04:46.975000,12,2022,1
12513,2022-01-12 08:10:42.089000+00:00,0 days 00:15:53.118000,12,2022,1
12512,2022-01-12 08:15:12.326000+00:00,0 days 00:04:30.237000,12,2022,1
12511,2022-01-12 08:21:40.325000+00:00,0 days 00:06:27.999000,12,2022,1
12510,2022-01-12 15:47:34.644000+00:00,0 days 07:25:54.319000,12,2022,1
12509,2022-01-12 15:48:11.178000+00:00,0 days 00:00:36.534000,12,2022,1
12508,2022-01-12 15:52:29.503000+00:00,0 days 00:04:18.325000,12,2022,1
12507,2022-01-12 15:52:50.100000+00:00,0 days 00:00:20.597000,12,2022,1
12506,2022-01-12 15:55:34.185000+00:00,0 days 00:02:44.085000,12,2022,1
12505,2022-01-12 16:01:28.218000+00:00,0 days 00:05:54.033000,12,2022,1
12504,2022-01-12 16:13:11.033000+00:00,0 days 00:11:42.815000,12,2022,1
12503,2022-01-12 16:13:20.601000+00:00,0 days 00:00:09.568000,12,2022,1
12502,2022-01-12 16:13:33.006000+00:00,0 days 00:00:12.405000,12,2022,1
12501,2022-01-12 21:54:00.968000+00:00,0 days 05:40:27.962000,12,2022,1
12500,2022-01-13 07:31:41.276000+00:00,0 days 09:37:40.308000,13,2022,1
12499,2022-01-13 07:33:03.033000+00:00,0 days 00:01:21.757000,13,2022,1
12498,2022-01-13 07:33:50.400000+00:00,0 days 00:00:47.367000,13,2022,1
12497,2022-01-13 07:34:02.307000+00:00,0 days 00:00:11.907000,13,2022,1
12496,2022-01-13 07:36:03.793000+00:00,0 days 00:02:01.486000,13,2022,1
12495,2022-01-13 07:38:30.079000+00:00,0 days 00:02:26.286000,13,2022,1
12494,2022-01-13 07:38:46.214000+00:00,0 days 00:00:16.135000,13,2022,1
12493,2022-01-13 07:46:53.222000+00:00,0 days 00:08:07.008000,13,2022,1
12492,2022-01-13 07:48:00.494000+00:00,0 days 00:01:07.272000,13,2022,1
12491,2022-01-13 07:52:28.816000+00:00,0 days 00:04:28.322000,13,2022,1
12490,2022-01-13 07:52:39.980000+00:00,0 days 00:00:11.164000,13,2022,1
12489,2022-01-13 07:55:04.823000+00:00,0 days 00:02:24.843000,13,2022,1
12488,2022-01-13 15:36:29.923000+00:00,0 days 07:41:25.100000,13,2022,1
12487,2022-01-13 21:33:36.480000+00:00,0 days 05:57:06.557000,13,2022,1
12486,2022-01-14 02:40:31.383000+00:00,0 days 05:06:54.903000,14,2022,1
12485,2022-01-14 04:47:46.243000+00:00,0 days 02:07:14.860000,14,2022,1
12484,2022-01-14 04:50:47.590000+00:00,0 days 00:03:01.347000,14,2022,1
12483,2022-01-14 04:56:59.804000+00:00,0 days 00:06:12.214000,14,2022,1
12482,2022-01-14 04:59:53.035000+00:00,0 days 00:02:53.231000,14,2022,1
12481,2022-01-14 05:42:13.131000+00:00,0 days 00:42:20.096000,14,2022,1
12480,2022-01-14 05:50:39.639000+00:00,0 days 00:08:26.508000,14,2022,1
12479,2022-01-14 05:51:22.769000+00:00,0 days 00:00:43.130000,14,2022,1
12478,2022-01-14 05:53:09.295000+00:00,0 days 00:01:46.526000,14,2022,1
12477,2022-01-14 05:54:05.223000+00:00,0 days 00:00:55.928000,14,2022,1
12476,2022-01-14 05:54:45.946000+00:00,0 days 00:00:40.723000,14,2022,1
12475,2022-01-14 06:06:24.469000+00:00,0 days 00:11:38.523000,14,2022,1
12474,2022-01-14 06:07:34.642000+00:00,0 days 00:01:10.173000,14,2022,1
12473,2022-01-14 06:10:13.393000+00:00,0 days 00:02:38.751000,14,2022,1
12472,2022-01-14 06:28:51.569000+00:00,0 days 00:18:38.176000,14,2022,1
12471,2022-01-14 06:38:59.498000+00:00,0 days 00:10:07.929000,14,2022,1
12470,2022-01-14 06:40:50.434000+00:00,0 days 00:01:50.936000,14,2022,1
12469,2022-01-14 21:27:14.407000+00:00,0 days 14:46:23.973000,14,2022,1
12468,2022-01-14 21:39:08.519000+00:00,0 days 00:11:54.112000,14,2022,1
12467,2022-01-14 22:08:56.316000+00:00,0 days 00:29:47.797000,14,2022,1
12466,2022-01-15 02:46:04.756000+00:00,0 days 04:37:08.440000,15,2022,1
12465,2022-01-15 02:46:48.586000+00:00,0 days 00:00:43.830000,15,2022,1
12464,2022-01-15 02:51:10.697000+00:00,0 days 00:04:22.111000,15,2022,1
12463,2022-01-15 05:30:49.501000+00:00,0 days 02:39:38.804000,15,2022,1
12462,2022-01-15 05:31:02.202000+00:00,0 days 00:00:12.701000,15,2022,1
12461,2022-01-15 05:35:51.641000+00:00,0 days 00:04:49.439000,15,2022,1
12460,2022-01-15 05:37:41.723000+00:00,0 days 00:01:50.082000,15,2022,1
12459,2022-01-15 05:45:46.277000+00:00,0 days 00:08:04.554000,15,2022,1
12458,2022-01-15 05:53:10.599000+00:00,0 days 00:07:24.322000,15,2022,1
12457,2022-01-15 05:53:29.673000+00:00,0 days 00:00:19.074000,15,2022,1
12456,2022-01-15 05:56:06.749000+00:00,0 days 00:02:37.076000,15,2022,1
12455,2022-01-15 16:33:16.762000+00:00,0 days 10:37:10.013000,15,2022,1
12454,2022-01-15 16:48:04.536000+00:00,0 days 00:14:47.774000,15,2022,1
12453,2022-01-15 16:58:44.787000+00:00,0 days 00:10:40.251000,15,2022,1
12452,2022-01-15 21:22:53.716000+00:00,0 days 04:24:08.929000,15,2022,1
12451,2022-01-16 01:23:40.673000+00:00,0 days 04:00:46.957000,16,2022,1
12450,2022-01-16 01:36:13.352000+00:00,0 days 00:12:32.679000,16,2022,1
12449,2022-01-16 01:47:01.382000+00:00,0 days 00:10:48.030000,16,2022,1
12448,2022-01-16 01:48:23.271000+00:00,0 days 00:01:21.889000,16,2022,1
12447,2022-01-16 02:37:19.079000+00:00,0 days 00:48:55.808000,16,2022,1
12446,2022-01-16 04:06:23.062000+00:00,0 days 01:29:03.983000,16,2022,1
12445,2022-01-16 04:45:44.025000+00:00,0 days 00:39:20.963000,16,2022,1
12444,2022-01-16 04:45:53.404000+00:00,0 days 00:00:09.379000,16,2022,1
12443,2022-01-16 04:51:11.526000+00:00,0 days 00:05:18.122000,16,2022,1
12442,2022-01-16 04:51:36.607000+00:00,0 days 00:00:25.081000,16,2022,1
12441,2022-01-16 05:00:52.334000+00:00,0 days 00:09:15.727000,16,2022,1
12440,2022-01-16 06:09:21.968000+00:00,0 days 01:08:29.634000,16,2022,1
12439,2022-01-16 07:11:23.522000+00:00,0 days 01:02:01.554000,16,2022,1
12438,2022-01-16 07:13:51.241000+00:00,0 days 00:02:27.719000,16,2022,1
12437,2022-01-16 07:20:16.910000+00:00,0 days 00:06:25.669000,16,2022,1
12436,2022-01-16 07:22:28.355000+00:00,0 days 00:02:11.445000,16,2022,1
12435,2022-01-16 07:28:57.864000+00:00,0 days 00:06:29.509000,16,2022,1
12434,2022-01-16 07:45:21.451000+00:00,0 days 00:16:23.587000,16,2022,1
12433,2022-01-16 08:00:10.828000+00:00,0 days 00:14:49.377000,16,2022,1
12432,2022-01-16 08:01:35.058000+00:00,0 days 00:01:24.230000,16,2022,1
12431,2022-01-16 08:02:14.062000+00:00,0 days 00:00:39.004000,16,2022,1
12430,2022-01-16 20:55:47.297000+00:00,0 days 12:53:33.235000,16,2022,1
12429,2022-01-16 21:10:39.293000+00:00,0 days 00:14:51.996000,16,2022,1
12428,2022-01-16 21:13:26.706000+00:00,0 days 00:02:47.413000,16,2022,1
12427,2022-01-16 21:13:43.485000+00:00,0 days 00:00:16.779000,16,2022,1
12426,2022-01-16 21:13:48.250000+00:00,0 days 00:00:04.765000,16,2022,1
12425,2022-01-16 23:01:47.006000+00:00,0 days 01:47:58.756000,16,2022,1
12424,2022-01-16 23:01:54.562000+00:00,0 days 00:00:07.556000,16,2022,1
12423,2022-01-16 23:07:53.043000+00:00,0 days 00:05:58.481000,16,2022,1
12422,2022-01-16 23:08:50.356000+00:00,0 days 00:00:57.313000,16,2022,1
12421,2022-01-16 23:10:21.659000+00:00,0 days 00:01:31.303000,16,2022,1
12420,2022-01-16 23:11:01.198000+00:00,0 days 00:00:39.539000,16,2022,1
12419,2022-01-16 23:36:35.408000+00:00,0 days 00:25:34.210000,16,2022,1
12418,2022-01-16 23:56:10.260000+00:00,0 days 00:19:34.852000,16,2022,1
12417,2022-01-16 23:57:30.240000+00:00,0 days 00:01:19.980000,16,2022,1
12416,2022-01-16 23:59:32.037000+00:00,0 days 00:02:01.797000,16,2022,1
12415,2022-01-17 03:34:12.945000+00:00,0 days 03:34:40.908000,17,2022,1
12414,2022-01-17 03:46:52.831000+00:00,0 days 00:12:39.886000,17,2022,1
12413,2022-01-17 04:21:04.275000+00:00,0 days 00:34:11.444000,17,2022,1
